Date,Open,High,Low,Close,Adj Close,Volume
2011-11-21,14510.125,19000.0,19200.0,18840.0,19020.0,12791900
2011-11-22,14708.68359375,19260.0,19420.0,18860.0,19000.0,12040600
2011-11-23,14281.013671875,18700.0,19200.0,18700.0,18960.0,15335700
2011-11-24,14403.19921875,18860.0,19060.0,18420.0,18440.0,13680750
2011-11-25,14464.2958984375,18940.0,19060.0,18580.0,18580.0,11689400
2011-11-28,14937.7890625,19560.0,19640.0,19160.0,19180.0,15724000
2011-11-29,15350.1796875,20100.0,20100.0,19720.0,19800.0,27588450
2011-11-30,15334.900390625,20080.0,20200.0,19920.0,20000.0,19579400
2011-12-01,16404.072265625,21480.0,21600.0,20580.0,20700.0,34717150
2011-12-02,16037.498046875,21000.0,21420.0,20800.0,21220.0,21917950
2011-12-05,16281.876953125,21320.0,21460.0,21160.0,21380.0,14848100
2011-12-06,15945.857421875,20880.0,21400.0,20820.0,21140.0,14528550
2011-12-07,16129.1455078125,21120.0,21360.0,20820.0,21000.0,19746900
2011-12-08,16251.33203125,21280.0,21660.0,20920.0,21140.0,25893000
2011-12-09,16083.32421875,21060.0,21480.0,20740.0,20980.0,13804200
2011-12-12,16556.814453125,21680.0,21680.0,21200.0,21260.0,12163550
2011-12-13,16037.498046875,21000.0,21500.0,21000.0,21480.0,13210000
2011-12-14,15884.763671875,20800.0,20900.0,20500.0,20680.0,21064350
2011-12-15,15502.9189453125,20300.0,20720.0,20300.0,20580.0,16963000
2011-12-16,15961.1337890625,20900.0,20900.0,20400.0,20420.0,12263200
2011-12-19,15380.7255859375,20140.0,20900.0,19680.0,20900.0,20485300
2011-12-20,15457.1005859375,20240.0,20580.0,20140.0,20160.0,13750300
2011-12-21,16144.419921875,21140.0,21140.0,20620.0,20700.0,20402950
2011-12-22,16068.0517578125,21040.0,21060.0,20820.0,20900.0,10634550
2011-12-23,16312.4326171875,21360.0,21480.0,21120.0,21120.0,12299050
2011-12-26,16281.876953125,21320.0,21500.0,21320.0,21340.0,6216250
2011-12-27,16388.8046875,21460.0,21600.0,21060.0,21360.0,11133650
2011-12-28,16281.3837890625,21220.0,21460.0,21200.0,21460.0,11023850
2011-12-29,16235.34375,21160.0,21540.0,21140.0,21240.0,10923900
2012-01-02,16572.94140625,21600.0,21600.0,21300.0,21400.0,13151350
2012-01-03,16956.57421875,22100.0,22100.0,21840.0,21860.0,16927750
2012-01-04,16572.94140625,21600.0,22200.0,21500.0,22100.0,17103700
2012-01-05,16189.3115234375,21100.0,21580.0,21100.0,21460.0,17298400
2012-01-06,15959.1298828125,20800.0,21320.0,20600.0,21120.0,18816250
2012-01-09,15590.8427734375,20320.0,20820.0,20300.0,20800.0,19283000
2012-01-10,15744.29296875,20520.0,20720.0,20420.0,20420.0,20414800
2012-01-11,15667.5703125,20420.0,20480.0,20280.0,20340.0,19110150
2012-01-12,15774.9892578125,20560.0,20580.0,20220.0,20320.0,18511000
2012-01-13,16051.201171875,20920.0,21000.0,20520.0,20560.0,14630750
2012-01-16,15805.6767578125,20600.0,20800.0,20400.0,20800.0,11614950
2012-01-17,15897.74609375,20720.0,20960.0,20480.0,20820.0,17084400
2012-01-18,15805.6767578125,20600.0,21040.0,20440.0,21020.0,15359650
2012-01-19,16450.181640625,21440.0,21440.0,20740.0,20760.0,22385800
2012-01-20,16956.57421875,22100.0,22100.0,21520.0,21800.0,25550800
2012-01-25,17094.685546875,22280.0,22500.0,21840.0,21840.0,22751300
2012-01-26,17079.33984375,22260.0,22420.0,21880.0,22320.0,17655150
2012-01-27,17263.484375,22500.0,22500.0,22220.0,22400.0,12741200
2012-01-30,17110.03125,22300.0,22600.0,22180.0,22580.0,16354450
2012-01-31,16987.275390625,22140.0,22400.0,21780.0,22100.0,21731350
2012-02-01,16557.6015625,21580.0,22140.0,21560.0,22140.0,22849650
2012-02-02,16572.94140625,21600.0,22080.0,21360.0,21720.0,22402650
2012-02-03,16358.109375,21320.0,21680.0,21120.0,21420.0,17801400
2012-02-06,16480.869140625,21480.0,21820.0,21320.0,21680.0,15837500
2012-02-07,16772.4296875,21860.0,21920.0,21460.0,21540.0,11921950
2012-02-08,16757.087890625,21840.0,22000.0,21680.0,21980.0,11809400
2012-02-09,16634.328125,21680.0,21800.0,21200.0,21740.0,24005850
2012-02-10,16296.724609375,21240.0,21680.0,21220.0,21680.0,18579100
2012-02-13,16618.974609375,21660.0,21780.0,21340.0,21380.0,16017250
2012-02-14,16572.94140625,21600.0,21780.0,21480.0,21680.0,12317400
2012-02-15,17416.93359375,22700.0,22760.0,21840.0,21960.0,28522350
2012-02-16,17416.93359375,22700.0,22800.0,22420.0,22600.0,15411800
2012-02-17,18046.08984375,23520.0,23600.0,23120.0,23180.0,17308450
2012-02-20,18030.74609375,23500.0,23880.0,23320.0,23560.0,14814150
2012-02-21,18107.474609375,23600.0,23960.0,23300.0,23500.0,10808250
